,JPM
2008-01-02,0.0
2008-01-03,-0.269999999999996
2008-01-04,-0.8700000000000045
2008-01-07,0.38000000000000256
2008-01-08,-1.5
2008-01-09,0.509999999999998
2008-01-10,0.980000000000004
2008-01-11,-0.4299999999999997
2008-01-14,0.45999999999999375
2008-01-15,-2.0
2008-01-16,2.0600000000000023
2008-01-17,-1.269999999999996
2008-01-18,-0.4100000000000037
2008-01-22,1.1600000000000037
2008-01-23,4.43
2008-01-24,-0.6900000000000048
2008-01-25,-1.1999999999999957
2008-01-28,1.759999999999998
2008-01-29,1.7100000000000009
2008-01-30,-0.09000000000000341
2008-01-31,0.05000000000000426
2008-02-01,0.769999999999996
2008-02-04,-1.8500000000000014
2008-02-05,-2.1299999999999955
2008-02-06,-0.14999999999999858
2008-02-07,1.269999999999996
2008-02-08,-1.1799999999999997
2008-02-11,-0.4299999999999997
2008-02-12,-0.030000000000001137
2008-02-13,0.7199999999999989
2008-02-14,-1.3599999999999994
2008-02-15,0.5800000000000054
2008-02-19,-0.38000000000000256
2008-02-20,0.28999999999999915
2008-02-21,-0.07000000000000028
2008-02-22,0.7800000000000011
2008-02-25,0.0899999999999963
2008-02-26,-0.27999999999999403
2008-02-27,0.6299999999999955
2008-02-28,-1.7999999999999972
2008-02-29,-1.6300000000000026
2008-03-03,-0.759999999999998
2008-03-04,-0.5700000000000003
2008-03-05,-0.4099999999999966
2008-03-06,-1.25
2008-03-07,0.1699999999999946
2008-03-10,-0.9799999999999969
2008-03-11,2.1499999999999986
2008-03-12,-0.21000000000000085
2008-03-13,-0.46000000000000085
2008-03-14,-1.4299999999999997
2008-03-17,3.440000000000005
2008-03-18,2.1899999999999977
2008-03-19,-0.21999999999999886
2008-03-20,3.1899999999999977
2008-03-24,0.5300000000000011
2008-03-25,-0.45000000000000284
2008-03-26,-1.769999999999996
2008-03-27,-1.1400000000000006
2008-03-28,-0.14000000000000057
2008-03-31,0.21999999999999886
2008-04-01,3.6899999999999977
2008-04-02,-0.3499999999999943
2008-04-03,0.03999999999999915
2008-04-04,-0.6500000000000057
2008-04-07,-0.02999999999999403
2008-04-08,-0.6300000000000026
2008-04-09,-0.509999999999998
2008-04-10,-0.4100000000000037
2008-04-11,-1.2199999999999989
2008-04-14,-0.9500000000000028
2008-04-15,0.5700000000000003
2008-04-16,2.6100000000000065
2008-04-17,0.14999999999999858
2008-04-18,0.5899999999999963
2008-04-21,-0.4899999999999949
2008-04-22,0.38999999999999346
2008-04-23,-0.45999999999999375
2008-04-24,1.6699999999999946
2008-04-25,0.7600000000000051
2008-04-28,-0.4200000000000017
2008-04-29,-0.240000000000002
2008-04-30,0.5300000000000011
2008-05-01,1.4699999999999989
2008-05-02,-0.5399999999999991
2008-05-05,-0.6099999999999994
2008-05-06,0.17999999999999972
2008-05-07,-1.490000000000002
2008-05-08,-0.4799999999999969
2008-05-09,0.4799999999999969
2008-05-12,0.6099999999999994
2008-05-13,-1.6199999999999974
2008-05-14,0.3999999999999986
2008-05-15,1.0200000000000031
2008-05-16,-0.45000000000000284
2008-05-19,-0.5
2008-05-20,-2.1000000000000014
2008-05-21,-1.1799999999999997
2008-05-22,0.5800000000000054
2008-05-23,-0.6700000000000017
2008-05-27,0.6299999999999955
2008-05-28,-0.14000000000000057
2008-05-29,0.6600000000000037
2008-05-30,-0.5300000000000011
2008-06-02,-0.7800000000000011
2008-06-03,-0.23999999999999488
2008-06-04,-0.240000000000002
2008-06-05,0.4299999999999997
2008-06-06,-1.8400000000000034
2008-06-09,-2.3799999999999955
2008-06-10,0.7199999999999989
2008-06-11,-1.0700000000000003
2008-06-12,0.8100000000000023
2008-06-13,1.4499999999999957
2008-06-16,0.3299999999999983
2008-06-17,-0.8299999999999983
2008-06-18,-0.269999999999996
2008-06-19,-0.09000000000000341
2008-06-20,-0.7199999999999989
2008-06-23,-0.9100000000000037
2008-06-24,0.7800000000000011
2008-06-25,0.1700000000000017
2008-06-26,-1.4600000000000009
2008-06-27,-1.1700000000000017
2008-06-30,-0.6799999999999962
2008-07-01,0.0799999999999983
2008-07-02,0.5400000000000027
2008-07-03,0.6599999999999966
2008-07-07,-1.1799999999999997
2008-07-08,1.6099999999999994
2008-07-09,-1.379999999999999
2008-07-10,0.2100000000000044
2008-07-11,-1.2500000000000036
2008-07-14,-1.370000000000001
2008-07-15,-0.6199999999999974
2008-07-16,4.57
2008-07-17,4.519999999999996
2008-07-18,-0.7299999999999969
2008-07-21,-1.2700000000000031
2008-07-22,2.0600000000000023
2008-07-23,1.0200000000000031
2008-07-24,-2.6200000000000045
2008-07-25,0.3500000000000014
2008-07-28,-1.7299999999999969
2008-07-29,2.8699999999999974
2008-07-30,0.769999999999996
2008-07-31,-0.8799999999999955
2008-08-01,0.11999999999999744
2008-08-04,-0.5700000000000003
2008-08-05,1.6200000000000045
2008-08-06,-0.46000000000000085
2008-08-07,-1.4699999999999989
2008-08-08,1.1699999999999946
2008-08-11,0.7600000000000051
2008-08-12,-3.690000000000005
2008-08-13,-0.9399999999999977
2008-08-14,0.8399999999999963
2008-08-15,0.240000000000002
2008-08-18,-1.240000000000002
2008-08-19,-1.0699999999999932
2008-08-20,1.3199999999999932
2008-08-21,-0.6899999999999977
2008-08-22,1.3100000000000023
2008-08-25,-1.4299999999999997
2008-08-26,0.4399999999999977
2008-08-27,0.5
2008-08-28,1.6099999999999994
2008-08-29,-0.35999999999999943
2008-09-02,0.46999999999999886
2008-09-03,0.6700000000000017
2008-09-04,-1.6799999999999997
2008-09-05,1.5700000000000003
