,SPY,AAPL,IBM,GOOG,XOM,Cash
2011-01-10,0.0,511485.0,0.0,0.0,0.0,485947.62500000006
2011-01-11,0.0,510270.0,0.0,0.0,0.0,485947.62500000006
2011-01-12,0.0,514425.0,0.0,0.0,0.0,485947.62500000006
2011-01-13,0.0,0.0,578200.0,0.0,0.0,418555.2250000001
2011-01-14,0.0,0.0,582800.0,0.0,0.0,418555.2250000001
2011-01-18,0.0,0.0,585320.0,0.0,0.0,418555.2250000001
2011-01-19,0.0,0.0,604880.0,0.0,0.0,418555.2250000001
2011-01-20,0.0,0.0,605320.0,0.0,0.0,418555.2250000001
2011-01-21,0.0,0.0,604160.0,0.0,0.0,418555.2250000001
2011-01-24,0.0,0.0,620200.0,0.0,0.0,418555.2250000001
2011-01-25,0.0,0.0,627240.0,0.0,0.0,418555.2250000001
2011-01-26,0.0,0.0,625680.0,616500.0,0.0,-201037.22499999986
2011-01-27,0.0,0.0,625800.0,616790.0,0.0,-201037.22499999986
2011-01-28,0.0,0.0,618560.0,600990.0,0.0,-201037.22499999986
2011-01-31,0.0,0.0,629400.0,600360.0,0.0,-201037.22499999986
2011-02-01,0.0,0.0,635480.0,611040.0,0.0,-201037.22499999986
2011-02-02,0.0,0.0,634480.0,612000.0,-319840.0,117193.62500000012
2011-02-03,0.0,0.0,635360.0,610150.0,-319960.0,117193.62500000012
2011-02-04,0.0,0.0,637200.0,610980.0,-319360.0,117193.62500000012
2011-02-07,0.0,0.0,640360.0,614290.0,-321840.0,117193.62500000012
2011-02-08,0.0,0.0,647720.0,618380.0,-319880.0,117193.62500000012
2011-02-09,0.0,0.0,642240.0,616500.0,-318200.0,117193.62500000012
2011-02-10,0.0,0.0,640080.0,616440.0,0.0,-205139.92499999987
2011-02-11,0.0,0.0,639120.0,624500.0,0.0,-205139.92499999987
2011-02-14,0.0,0.0,636680.0,628150.0,0.0,-205139.92499999987
2011-02-15,0.0,0.0,635200.0,624150.0,0.0,-205139.92499999987
2011-02-16,0.0,0.0,637360.0,624220.0,0.0,-205139.92499999987
2011-02-17,0.0,0.0,640640.0,625260.0,0.0,-205139.92499999987
2011-02-18,0.0,0.0,643000.0,630080.0,0.0,-205139.92499999987
2011-02-22,0.0,0.0,631720.0,610210.0,0.0,-205139.92499999987
2011-02-23,0.0,0.0,624800.0,611320.0,0.0,-205139.92499999987
2011-02-24,0.0,0.0,627120.0,608820.0,0.0,-205139.92499999987
2011-02-25,0.0,0.0,633000.0,610040.0,0.0,-205139.92499999987
2011-02-28,0.0,0.0,631440.0,613400.0,0.0,-205139.92499999987
2011-03-01,0.0,0.0,624000.0,600760.0,0.0,-205139.92499999987
2011-03-02,0.0,0.0,624720.0,600790.0,0.0,-205139.92499999987
2011-03-03,0.0,0.0,286956.0,0.0,0.0,750322.7549999999
2011-03-04,0.0,0.0,284058.0,0.0,0.0,750322.7549999999
2011-03-07,0.0,0.0,280728.0,0.0,0.0,750322.7549999999
2011-03-08,0.0,0.0,284850.0,0.0,0.0,750322.7549999999
2011-03-09,0.0,0.0,291132.0,0.0,0.0,750322.7549999999
2011-03-10,0.0,0.0,284400.0,0.0,0.0,750322.7549999999
2011-03-11,0.0,0.0,285120.0,0.0,0.0,750322.7549999999
2011-03-14,0.0,0.0,283284.0,0.0,0.0,750322.7549999999
2011-03-15,0.0,0.0,279126.0,0.0,0.0,750322.7549999999
2011-03-16,0.0,0.0,268560.0,0.0,0.0,750322.7549999999
2011-03-17,0.0,0.0,270630.0,0.0,0.0,750322.7549999999
2011-03-18,0.0,0.0,273636.0,0.0,0.0,750322.7549999999
2011-03-21,0.0,0.0,276768.0,0.0,0.0,750322.7549999999
2011-03-22,0.0,0.0,277344.0,0.0,0.0,750322.7549999999
2011-03-23,0.0,0.0,280026.0,0.0,0.0,750322.7549999999
2011-03-24,0.0,0.0,280926.0,0.0,0.0,750322.7549999999
2011-03-25,0.0,0.0,284670.0,0.0,0.0,750322.7549999999
2011-03-28,0.0,0.0,283248.0,0.0,0.0,750322.7549999999
2011-03-29,0.0,0.0,285912.0,0.0,0.0,750322.7549999999
2011-03-30,0.0,0.0,287172.0,0.0,0.0,750322.7549999999
2011-03-31,0.0,0.0,286236.0,0.0,0.0,750322.7549999999
2011-04-01,0.0,0.0,288342.0,0.0,0.0,750322.7549999999
2011-04-04,0.0,0.0,288306.0,0.0,0.0,750322.7549999999
2011-04-05,0.0,0.0,287856.0,0.0,0.0,750322.7549999999
2011-04-06,0.0,0.0,287946.0,0.0,0.0,750322.7549999999
2011-04-07,0.0,0.0,288540.0,0.0,0.0,750322.7549999999
2011-04-08,0.0,0.0,287964.0,0.0,0.0,750322.7549999999
2011-04-11,0.0,0.0,287784.0,0.0,0.0,750322.7549999999
2011-04-12,0.0,0.0,286560.0,0.0,0.0,750322.7549999999
2011-04-13,0.0,0.0,287784.0,0.0,0.0,750322.7549999999
2011-04-14,0.0,0.0,289566.0,0.0,0.0,750322.7549999999
2011-04-15,0.0,0.0,291744.0,0.0,0.0,750322.7549999999
2011-04-18,0.0,0.0,291276.0,0.0,0.0,750322.7549999999
2011-04-19,0.0,0.0,290322.0,0.0,0.0,750322.7549999999
2011-04-20,0.0,0.0,289188.0,0.0,0.0,750322.7549999999
2011-04-21,0.0,0.0,295380.0,0.0,0.0,750322.7549999999
2011-04-25,0.0,0.0,294318.0,0.0,0.0,750322.7549999999
2011-04-26,0.0,0.0,295758.0,0.0,0.0,750322.7549999999
2011-04-27,0.0,0.0,299052.0,0.0,0.0,750322.7549999999
2011-04-28,0.0,0.0,299772.0,0.0,0.0,750322.7549999999
2011-04-29,0.0,0.0,299412.0,0.0,0.0,750322.7549999999
2011-05-02,0.0,0.0,302166.0,0.0,0.0,750322.7549999999
2011-05-03,0.0,0.0,556314.0,0.0,0.0,496178.45499999984
2011-05-04,0.0,0.0,549054.0,0.0,0.0,496178.45499999984
2011-05-05,0.0,0.0,542124.0,0.0,0.0,496178.45499999984
2011-05-06,0.0,0.0,545919.0,0.0,0.0,496178.45499999984
2011-05-09,0.0,0.0,546612.0,0.0,0.0,496178.45499999984
2011-05-10,0.0,0.0,550737.0,0.0,0.0,496178.45499999984
2011-05-11,0.0,0.0,547899.0,0.0,0.0,496178.45499999984
2011-05-12,0.0,0.0,556743.0,0.0,0.0,496178.45499999984
2011-05-13,0.0,0.0,549252.0,0.0,0.0,496178.45499999984
2011-05-16,0.0,0.0,545820.0,0.0,0.0,496178.45499999984
2011-05-17,0.0,0.0,551133.0,0.0,0.0,496178.45499999984
2011-05-18,0.0,0.0,550935.0,0.0,0.0,496178.45499999984
2011-05-19,0.0,0.0,551430.0,0.0,0.0,496178.45499999984
2011-05-20,0.0,0.0,550044.0,0.0,0.0,496178.45499999984
2011-05-23,0.0,0.0,543906.0,0.0,0.0,496178.45499999984
2011-05-24,0.0,0.0,543015.0,0.0,0.0,496178.45499999984
2011-05-25,0.0,0.0,542256.0,0.0,0.0,496178.45499999984
2011-05-26,0.0,0.0,540408.0,0.0,0.0,496178.45499999984
2011-05-27,0.0,0.0,541431.0,0.0,0.0,496178.45499999984
2011-05-31,0.0,0.0,546051.0,0.0,0.0,496178.45499999984
2011-06-01,0.0,0.0,538395.0,0.0,0.0,496178.45499999984
2011-06-02,0.0,0.0,536877.0,0.0,0.0,496178.45499999984
2011-06-03,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-06,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-07,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-08,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-09,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-10,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-13,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-14,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-15,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-16,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-17,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-20,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-21,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-22,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-23,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-24,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-27,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-28,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
